Gene	Cellular	Viral 
cas1; CRISPR protein 	100	0
cas2; CRISPR protein 	100	0
cas3; CRISPR endonuclease/helicase	300	0
cas4; CRISPR exonuclease  [EC;3.1.12.1]	100	0
cas5t; CRISPR protein 	100	0
cmr2; CRISPR protein 	100	0
csn1; CRISPR endonuclease [EC;3.1.-.-]	100	0
cst2; CRISPR protein 	100	0
csx10; CRISPR protein 	200	0








