Taxonomy	SB	HBC	PAII	RM
Satellites	3.044	0.584	0	1.247
Virus families not assigned to an order	0.008	0.02	0	0.331
dsDNA viruses, no RNA stage	2.148	16.823	96.78	0.193
ssDNA viruses	87.404	80.925	2.066	94.789
unassigned viruses	0.054	0	0	0
unclassified archaeal viruses	0.018	0	0	0
unclassified phages	0.064	0.455	0.978	0.005
unclassified virophages	0.011	0.139	0.05	0.003
unclassified viruses	7.25	1.054	0.125	3.431
